"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","15"," "," "," "," ","7","19"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","3","37","1"," "," "
"Independent work"," "," ","12","24","5"," "," "
"Work at a fast pace"," ","2","9","15","15"," "," "
"Work under tight deadlines"," ","6","9","20","6"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","13","27"
"Work with clients who have experienced psychological trauma","13"," "," "," "," ","9","19"
"Work with clients who may be aggressive","16"," "," "," "," ","5","20"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","20","20"
"Work with clients with cognitive deficits","2"," "," "," "," ","31","8"
"Work with clients with multiple diagnoses"," "," "," "," "," ","38","3"
"Work with interdisciplinary team members"," ","1","16","21","3"," "," "
"Work with medically fragile clients and/or those at risk of dying","8"," "," "," "," ","13","20"
"Work with more than one preceptor"," ","18","5","11","7"," "," "
"Work with Occupational Therapy Assistant(s)"," ","7","9","23","2"," "," "
"Work with other students"," ","17","4","18","2"," "," "
"Total","56","51","67","169","41","136","136"
