"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","25"," "," "," "," "," "," "," ","1"
"Bending"," ","5"," "," ","5","16"," "," "," "
"By hand"," ","5"," "," ","1","20"," "," "," "
"Carrying less than 5 kg"," ","7","17","2"," "," "," "," "," "
"Carrying more than 5 kg"," ","19","7"," "," "," "," "," "," "
"Congested/cluttered working areas","19"," "," "," "," "," "," "," ","7"
"Exposure to chemicals","26"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","25"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","18"," "," "," "," "," "," "," ","8"
"Exposure to extreme temperatures","24"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","20"," "," "," "," "," "," "," ","6"
"Exposure to insects or animals (e.g. bed bugs, cats)","22"," "," "," "," "," "," "," ","4"
"Exposure to strong odors","21"," "," "," "," "," "," "," ","5"
"Finger dexterity"," ","4","14","5"," "," ","3"," "," "
"Grasping"," ","4","12","8"," "," ","2"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","9","14"," ","2"," "
"Keyboarding on phone"," ","23"," "," "," ","3"," "," "," "
"Kneeling/squatting"," ","5"," "," ","5","16"," "," "," "
"Lifting less than 5 kg"," ","7","16","3"," "," "," "," "," "
"Lifting more than 5 kg"," ","18","8"," "," "," "," "," "," "
"Other climbing"," ","19"," "," ","1","6"," "," "," "
"Pinching"," ","4","15","5"," "," ","2"," "," "
"Pulling less than 5 kg"," ","18","5","3"," "," "," "," "," "
"Pulling more than 5 kg"," ","20","5","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","18","6","2"," "," "," "," "," "
"Pushing more than 5 kg"," ","19","6","1"," "," "," "," "," "
"Reaching"," ","4","12","8"," "," ","2"," "," "
"Sitting (Continuous)"," ","3"," "," ","9","11"," ","3"," "
"Sitting (Intermittent)"," "," "," "," ","12","10"," ","4"," "
"Stair climbing"," ","7"," "," ","5","14"," "," "," "
"Standing (Continuous)"," ","4"," "," ","6","15"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","11","13"," ","2"," "
"Travel via car required","17"," "," "," "," "," "," "," ","9"
"Travel via public transportation required","23"," "," "," "," "," "," "," ","3"
"Twisting /awkward posture"," ","16"," "," ","1","9"," "," "," "
"Use of sharp tools","23"," "," "," "," "," "," "," ","3"
"Walking"," "," "," "," ","6","20"," "," "," "
"Work only indoors","12"," "," "," "," "," "," "," ","14"
"Work outdoors > 1 hour","24"," "," "," "," "," "," "," ","2"
"Total","299","230","123","38","71","167","9","12","65"
