"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","21"," "," "," "," ","6","14",1
"Group work (e.g. Client and family meetings, team meetings)"," ","7","2","31","1"," "," ",1
"Independent work"," "," ","19","16","6"," "," ",1
"Work at a fast pace"," ","4","14","15","8"," "," ",1
"Work under tight deadlines"," ","12","9","17","3"," "," ",1
"Work with clients that speak little or no English","2"," "," "," "," ","16","23",1
"Work with clients who have experienced psychological trauma","14"," "," "," "," ","6","21",1
"Work with clients who may be aggressive","23"," "," "," "," ","3","15",1
"Work with clients with challenging economic and/or personal circumstances","6"," "," "," "," ","17","18",1
"Work with clients with cognitive deficits","7"," "," "," "," ","18","16",1
"Work with clients with multiple diagnoses","1"," "," "," "," ","21","19",1
"Work with interdisciplinary team members"," ","1","10","25","5"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","24"," "," "," "," ","8","9",1
"Work with more than one preceptor"," ","13","12","9","7"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","20","2","16","3"," "," ",1
"Work with other students"," ","18","3","16","4"," "," ",1
"Total","98","75","71","145","37","95","135",16
