"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","2"," "," "," "," ","1","1"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","3"," "," "," "
"Independent work"," "," "," ","3","1"," "," "
"Work at a fast pace"," "," ","1","3"," "," "," "
"Work under tight deadlines"," "," ","1","3"," "," "," "
"Work with clients that speak little or no English","2"," "," "," "," ","1","1"
"Work with clients who have experienced psychological trauma","1"," "," "," "," ","2","1"
"Work with clients who may be aggressive"," "," "," "," "," ","1","3"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","4"," "
"Work with clients with cognitive deficits","1"," "," "," "," ","1","2"
"Work with clients with multiple diagnoses"," "," "," "," "," ","4"," "
"Work with interdisciplinary team members"," "," ","4"," "," "," "," "
"Work with medically fragile clients and/or those at risk of dying","2"," "," "," "," ","1","1"
"Work with more than one preceptor"," ","2","1","1"," "," "," "
"Work with Occupational Therapy Assistant(s)"," ","4"," "," "," "," "," "
"Work with other students"," ","1"," ","3"," "," "," "
"Total","8","7","8","16","1","15","9"
