"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","36"," "," "," "," "," "," "," ","3"
"Bending"," ","8"," "," ","7","23"," ","1"," "
"By hand"," ","4"," "," ","12","21"," ","2"," "
"Carrying less than 5 kg"," ","12","18","6"," "," ","3"," "," "
"Carrying more than 5 kg"," ","26","12","1"," "," "," "," "," "
"Congested/cluttered working areas","27"," "," "," "," "," "," "," ","12"
"Exposure to chemicals","36"," "," "," "," "," "," "," ","3"
"Exposure to excessive dust","38"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","29"," "," "," "," "," "," "," ","10"
"Exposure to extreme temperatures","37"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","15"," "," "," "," "," "," "," ","24"
"Exposure to insects or animals (e.g. bed bugs, cats)","35"," "," "," "," "," "," "," ","4"
"Exposure to strong odors","26"," "," "," "," "," "," "," ","13"
"Finger dexterity"," ","5","14","8"," "," ","12"," "," "
"Grasping"," ","5","14","10"," "," ","10"," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","9","24"," ","4"," "
"Keyboarding on phone"," ","33"," "," ","1","5"," "," "," "
"Kneeling/squatting"," ","13"," "," ","3","22"," ","1"," "
"Lifting less than 5 kg"," ","8","14","11"," "," ","6"," "," "
"Lifting more than 5 kg"," ","20","12","6"," "," ","1"," "," "
"Other climbing"," ","37"," "," "," ","2"," "," "," "
"Pinching"," ","7","17","7"," "," ","8"," "," "
"Pulling less than 5 kg"," ","19","15","3"," "," ","2"," "," "
"Pulling more than 5 kg"," ","21","15","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","15","17","4"," "," ","3"," "," "
"Pushing more than 5 kg"," ","11","15","12"," "," ","1"," "," "
"Reaching"," ","4","12","13"," "," ","10"," "," "
"Sitting (Continuous)"," ","6"," "," ","4","28"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","15","21"," ","3"," "
"Stair climbing"," ","19"," "," "," ","20"," "," "," "
"Standing (Continuous)"," ","5"," "," ","11","20"," ","3"," "
"Standing (Intermittent)"," "," "," "," ","21","10"," ","8"," "
"Travel via car required","31"," "," "," "," "," "," "," ","8"
"Travel via public transportation required","35"," "," "," "," "," "," "," ","4"
"Twisting /awkward posture"," ","23"," "," ","2","14"," "," "," "
"Use of sharp tools","36"," "," "," "," "," "," "," ","3"
"Walking"," ","1"," "," ","17","13"," ","8"," "
"Work only indoors","4"," "," "," "," "," "," "," ","35"
"Work outdoors > 1 hour","38"," "," "," "," "," "," "," ","1"
"Total","423","304","175","84","102","223","56","31","123"
