"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","4","2","2"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","4"," ","3"," "," "
"Follow multiple step commands","1"," "," "," "," ","4","3"
"Integrating new learning into practice"," "," ","4","1","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","7","1"
"Practicing good judgement and decision-making"," "," ","4","1","3"," "," "
"Problem solving"," "," ","4","2","2"," "," "
"Reading electronic documents"," "," ","5","3"," "," "," "
"Reading paper documents (handwritten or typed)"," ","2","1","5"," "," "," "
"Require instant recall of facts/data","1"," "," "," "," ","4","3"
"Self-starting/initiating"," "," ","5","1","2"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","2","3"," "," "
"Total","2","3","34","17","18","15","7"
