"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","8","3","19"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","8","9","13"," "," "
"Follow multiple step commands","1"," "," "," "," ","25","4"
"Integrating new learning into practice"," "," ","10","8","12"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","25","5"
"Practicing good judgement and decision-making"," "," ","10","2","18"," "," "
"Problem solving"," "," ","11","5","14"," "," "
"Reading electronic documents"," ","4","3","19","4"," "," "
"Reading paper documents (handwritten or typed)"," "," ","6","19","5"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","18","10"
"Self-starting/initiating"," "," ","8","9","13"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","11","4","15"," "," "
"Total","3","4","75","78","113","68","19"
