"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","85"," "," "," "," "," "," "," ","5"
"Bending"," ","9"," "," ","14","64"," ","3"," "
"By hand"," ","10"," "," ","24","45"," ","11"," "
"Carrying less than 5 kg"," ","22","48","13"," "," ","7"," "," "
"Carrying more than 5 kg"," ","64","24","2"," "," "," "," "," "
"Congested/cluttered working areas","65"," "," "," "," "," "," "," ","25"
"Exposure to chemicals","86"," "," "," "," "," "," "," ","4"
"Exposure to excessive dust","88"," "," "," "," "," "," "," ","2"
"Exposure to excessive noise /auditory distractions","64"," "," "," "," "," "," "," ","26"
"Exposure to extreme temperatures","87"," "," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","38"," "," "," "," "," "," "," ","52"
"Exposure to insects or animals (e.g. bed bugs, cats)","81"," "," "," "," "," "," "," ","9"
"Exposure to strong odors","64"," "," "," "," "," "," "," ","26"
"Finger dexterity"," ","12","39","17"," "," ","22"," "," "
"Grasping"," ","8","35","20"," "," ","27"," "," "
"Keyboarding on computer or tablet"," ","4"," "," ","22","57"," ","7"," "
"Keyboarding on phone"," ","80"," "," ","1","9"," "," "," "
"Kneeling/squatting"," ","17"," "," ","7","63"," ","3"," "
"Lifting less than 5 kg"," ","11","48","23"," "," ","8"," "," "
"Lifting more than 5 kg"," ","42","37","10"," "," ","1"," "," "
"Other climbing"," ","84"," "," ","1","5"," "," "," "
"Pinching"," ","18","42","13"," "," ","17"," "," "
"Pulling less than 5 kg"," ","43","41","4"," "," ","2"," "," "
"Pulling more than 5 kg"," ","51","33","5"," "," ","1"," "," "
"Pushing less than 5 kg"," ","33","47","6"," "," ","4"," "," "
"Pushing more than 5 kg"," ","28","39","17"," "," ","6"," "," "
"Reaching"," ","5","36","25"," "," ","24"," "," "
"Sitting (Continuous)"," ","17"," "," ","8","64"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","33","50"," ","7"," "
"Stair climbing"," ","42"," "," ","2","44"," ","2"," "
"Standing (Continuous)"," ","9"," "," ","22","49"," ","10"," "
"Standing (Intermittent)"," "," "," "," ","40","22"," ","28"," "
"Travel via car required","73"," "," "," "," "," "," "," ","17"
"Travel via public transportation required","77"," "," "," "," "," "," "," ","13"
"Twisting /awkward posture"," ","48"," "," ","4","37"," ","1"," "
"Use of sharp tools","82"," "," "," "," "," "," "," ","8"
"Walking"," ","1"," "," ","35","28"," ","26"," "
"Work only indoors","18"," "," "," "," "," "," "," ","72"
"Work outdoors > 1 hour","90"," "," "," "," "," "," "," "," "
"Total","998","658","469","155","213","537","119","99","262"
