"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","5"," "," "," "," "," "," "," "
"Bending"," "," "," "," ","2","3"," "," "
"By hand"," ","1"," "," "," ","4"," "," "
"Carrying less than 5 kg"," ","1","3","1"," "," "," "," "
"Carrying more than 5 kg"," ","3","2"," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," ","2"
"Exposure to chemicals","5"," "," "," "," "," "," "," "
"Exposure to excessive dust","4"," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","4"," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","1"," "," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," "," ","2"
"Exposure to strong odors","2"," "," "," "," "," "," ","3"
"Finger dexterity"," "," ","4","1"," "," "," "," "
"Grasping"," "," ","3","2"," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," "," ","4"," "," "
"Keyboarding on phone"," ","2"," "," "," ","3"," "," "
"Kneeling/squatting"," "," "," "," ","1","4"," "," "
"Lifting less than 5 kg"," "," ","4","1"," "," "," "," "
"Lifting more than 5 kg"," ","3","2"," "," "," "," "," "
"Other climbing"," ","3"," "," "," ","2"," "," "
"Pinching"," "," ","4","1"," "," "," "," "
"Pulling less than 5 kg"," ","4"," ","1"," "," "," "," "
"Pulling more than 5 kg"," ","3","2"," "," "," "," "," "
"Pushing less than 5 kg"," ","3","1","1"," "," "," "," "
"Pushing more than 5 kg"," ","3","2"," "," "," "," "," "
"Reaching"," "," ","3","2"," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","3","1"," "," "
"Sitting (Intermittent)"," "," "," "," ","2","2","1"," "
"Stair climbing"," "," "," "," ","1","4"," "," "
"Standing (Continuous)"," ","1"," "," ","2","2"," "," "
"Standing (Intermittent)"," "," "," "," ","2","3"," "," "
"Travel via car required","5"," "," "," "," "," "," "," "
"Travel via public transportation required","4"," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","2"," "," "," ","3"," "," "
"Use of sharp tools","5"," "," "," "," "," "," "," "
"Walking"," "," "," "," ","2","3"," "," "
"Work only indoors","3"," "," "," "," "," "," ","2"
"Work outdoors > 5 hour","4"," "," "," "," "," "," ","1"
"Total","51","31","30","10","15","38","1","19"
