"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","40"," "," "," "," "," "," "," ","3"
"Bending"," ","8"," "," ","6","27"," ","2"," "
"By hand"," ","11"," "," ","8","22"," ","2"," "
"Carrying less than 5 kg"," ","16","22","5"," "," "," "," "," "
"Carrying more than 5 kg"," ","31","8","4"," "," "," "," "," "
"Congested/cluttered working areas","29"," "," "," "," "," "," "," ","14"
"Exposure to chemicals","36"," "," "," "," "," "," "," ","7"
"Exposure to excessive dust","41"," "," "," "," "," "," "," ","2"
"Exposure to excessive noise /auditory distractions","26"," "," "," "," "," "," "," ","17"
"Exposure to extreme temperatures","41"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","9"," "," "," "," "," "," "," ","34"
"Exposure to insects or animals (e.g. bed bugs, cats)","40"," "," "," "," "," "," "," ","3"
"Exposure to strong odors","20"," "," "," "," "," "," "," ","23"
"Finger dexterity"," ","12","18","7"," "," ","6"," "," "
"Grasping"," ","9","21","9"," "," ","4"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","20","19"," ","3"," "
"Keyboarding on phone"," ","39"," "," "," ","4"," "," "," "
"Kneeling/squatting"," ","11"," "," ","3","28"," ","1"," "
"Lifting less than 5 kg"," ","12","23","6"," "," ","2"," "," "
"Lifting more than 5 kg"," ","21","17","5"," "," "," "," "," "
"Other climbing"," ","41"," "," "," ","2"," "," "," "
"Pinching"," ","19","19","4"," "," ","1"," "," "
"Pulling less than 5 kg"," ","25","16","2"," "," "," "," "," "
"Pulling more than 5 kg"," ","22","18","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","18","22","3"," "," "," "," "," "
"Pushing more than 5 kg"," ","14","26","3"," "," "," "," "," "
"Reaching"," ","10","22","6"," "," ","5"," "," "
"Sitting (Continuous)"," ","12"," "," ","7","24"," "," "," "
"Sitting (Intermittent)"," ","1"," "," ","18","21"," ","3"," "
"Stair climbing"," ","16"," "," ","2","23"," ","2"," "
"Standing (Continuous)"," ","6"," "," ","6","21"," ","10"," "
"Standing (Intermittent)"," "," "," "," ","18","16"," ","9"," "
"Travel via car required","42"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","40"," "," "," "," "," "," "," ","3"
"Twisting /awkward posture"," ","19"," "," ","2","22"," "," "," "
"Use of sharp tools","41"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","8","24"," ","11"," "
"Work only indoors","2"," "," "," "," "," "," "," ","41"
"Work outdoors > 1 hour","43"," "," "," "," "," "," "," "," "
"Total","450","374","232","57","98","253","18","43","152"
