"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","12"," "," "," "," ","5","16"
"Group work (e.g. Client and family meetings, team meetings)"," ","1","2","29","1"," "," "
"Independent work"," "," ","7","21","5"," "," "
"Work at a fast pace"," ","1","9","11","12"," "," "
"Work under tight deadlines"," ","3","9","18","3"," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","9","24"
"Work with clients who have experienced psychological trauma","10"," "," "," "," ","7","16"
"Work with clients who may be aggressive","12"," "," "," "," ","3","18"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","16","17"
"Work with clients with cognitive deficits"," "," "," "," "," ","24","9"
"Work with clients with multiple diagnoses"," "," "," "," "," ","31","2"
"Work with interdisciplinary team members"," "," ","10","20","3"," "," "
"Work with medically fragile clients and/or those at risk of dying","6"," "," "," "," ","9","18"
"Work with more than one preceptor"," ","14","3","11","5"," "," "
"Work with Occupational Therapy Assistant(s)"," ","4","6","21","2"," "," "
"Work with other students"," ","14","2","16","1"," "," "
"Total","40","37","48","147","32","104","120"
