"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","3"," ","6"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","3","4"," "," "
"Follow multiple step commands"," "," "," "," ","7","2"
"Integrating new learning into practice"," ","3","1","5"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","7","2"
"Practicing good judgement and decision-making"," ","2","2","5"," "," "
"Problem solving"," ","3","1","5"," "," "
"Reading electronic documents"," ","4","4","1"," "," "
"Reading paper documents (handwritten or typed)"," ","3","6"," "," "," "
"Require instant recall of facts/data","1"," "," "," ","6","2"
"Self-starting/initiating"," ","4","2","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","4","2","3"," "," "
"Total","1","28","21","32","20","6"
