"Question","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning","1","1","2"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)","1","2","1"," "," "
"Follow multiple step commands"," "," "," ","2","2"
"Integrating new learning into practice","1","1","2"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," ","3","1"
"Practicing good judgement and decision-making","1","1","2"," "," "
"Problem solving","1","1","2"," "," "
"Reading electronic documents"," ","2","2"," "," "
"Reading paper documents (handwritten or typed)"," ","2","2"," "," "
"Require instant recall of facts/data"," "," "," ","1","3"
"Self-starting/initiating","1","1","2"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)","1","1","2"," "," "
"Total","7","12","17","6","6"
