"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," ","2","4"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","2","6","1"," "," "
"Independent work"," "," ","4","3","2"," "," "
"Work at a fast pace"," ","2","3","3","1"," "," "
"Work under tight deadlines"," ","2"," ","7"," "," "," "
"Work with clients that speak little or no English","4"," "," "," "," ","2","3"
"Work with clients who have experienced psychological trauma"," "," "," "," "," ","7","2"
"Work with clients who may be aggressive"," "," "," "," "," ","4","5"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","8","1"
"Work with clients with cognitive deficits","2"," "," "," "," ","5","2"
"Work with clients with multiple diagnoses"," "," "," "," "," ","9"," "
"Work with interdisciplinary team members"," "," ","5","3","1"," "," "
"Work with medically fragile clients and/or those at risk of dying","4"," "," "," "," ","1","4"
"Work with more than one preceptor"," ","7"," ","1","1"," "," "
"Work with Occupational Therapy Assistant(s)"," ","9"," "," "," "," "," "
"Work with other students"," ","7"," ","2"," "," "," "
"Total","13","27","14","25","6","38","21"
