"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","7","4","9"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","4","8","2","6"," "," "
"Follow multiple step commands","7"," "," "," "," ","12","1"
"Integrating new learning into practice"," "," ","5","6","9"," "," "
"Memory aids can be used (e.g. information sheets)","2"," "," "," "," ","15","3"
"Practicing good judgement and decision-making"," "," ","8","3","9"," "," "
"Problem solving"," "," ","11","2","7"," "," "
"Reading electronic documents"," ","4","5","9","2"," "," "
"Reading paper documents (handwritten or typed)"," ","1","4","14","1"," "," "
"Require instant recall of facts/data","8"," "," "," "," ","10","2"
"Self-starting/initiating"," ","1","10","4","5"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","8","6","6"," "," "
"Total","17","10","66","50","54","37","6"
