"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","5"," "," "," "," "," ","2"
"Bending"," ","2"," ","2","3"," "," "
"By hand"," ","1"," "," ","6"," "," "
"Carrying less than 5 kg"," ","3","4"," "," "," "," "
"Carrying more than 5 kg"," ","6","1"," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," ","4"
"Exposure to chemicals","6"," "," "," "," "," ","1"
"Exposure to excessive dust","6"," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," ","2"
"Exposure to extreme temperatures","4"," "," "," "," "," ","3"
"Exposure to infectious agents/disease","2"," "," "," "," "," ","5"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," ","4"
"Exposure to strong odors","3"," "," "," "," "," ","4"
"Finger dexterity"," ","3","4"," "," "," "," "
"Grasping"," ","3","4"," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," ","2","4"," "," "
"Keyboarding on phone"," ","3"," "," ","4"," "," "
"Kneeling/squatting"," ","4"," ","1","2"," "," "
"Lifting less than 5 kg"," ","3","4"," "," "," "," "
"Lifting more than 5 kg"," ","6","1"," "," "," "," "
"Other climbing"," ","6"," "," ","1"," "," "
"Pinching"," ","3","4"," "," "," "," "
"Pulling less than 5 kg"," ","7"," "," "," "," "," "
"Pulling more than 5 kg"," ","6","1"," "," "," "," "
"Pushing less than 5 kg"," ","6","1"," "," "," "," "
"Pushing more than 5 kg"," ","6","1"," "," "," "," "
"Reaching"," ","3","4"," "," "," "," "
"Sitting (Continuous)"," ","1"," ","2","3","1"," "
"Sitting (Intermittent)"," "," "," ","3","2","2"," "
"Stair climbing"," ","1"," ","1","5"," "," "
"Standing (Continuous)"," ","1"," ","2","4"," "," "
"Standing (Intermittent)"," "," "," ","2","5"," "," "
"Travel via car required","5"," "," "," "," "," ","2"
"Travel via public transportation required","5"," "," "," "," "," ","2"
"Twisting /awkward posture"," ","4"," "," ","3"," "," "
"Use of sharp tools","6"," "," "," "," "," ","1"
"Walking"," "," "," ","2","5"," "," "
"Work only indoors","6"," "," "," "," "," ","1"
"Work outdoors > 1 hour","4"," "," "," "," "," ","3"
"Total","63","79","29","17","47","3","35"
