"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes","NA_"
"Adverse lighting conditions","1"," "," "," "," "," "," "," "," ",1
"Bending"," "," "," "," "," ","1"," "," "," ",1
"By hand"," ","1"," "," "," "," "," "," "," ",1
"Carrying less than 5 kg"," "," "," "," "," "," ","1"," "," ",1
"Carrying more than 5 kg"," "," "," ","1"," "," "," "," "," ",1
"Congested/cluttered working areas","1"," "," "," "," "," "," "," "," ",1
"Exposure to chemicals","1"," "," "," "," "," "," "," "," ",1
"Exposure to excessive dust","1"," "," "," "," "," "," "," "," ",1
"Exposure to excessive noise /auditory distractions"," "," "," "," "," "," "," "," ","1",1
"Exposure to extreme temperatures","1"," "," "," "," "," "," "," "," ",1
"Exposure to infectious agents/disease"," "," "," "," "," "," "," "," ","1",1
"Exposure to insects or animals (e.g. bed bugs, cats)","1"," "," "," "," "," "," "," "," ",1
"Exposure to strong odors"," "," "," "," "," "," "," "," ","1",1
"Finger dexterity"," "," ","1"," "," "," "," "," "," ",1
"Grasping"," "," "," "," "," "," ","1"," "," ",1
"Keyboarding on computer or tablet"," "," "," "," "," ","1"," "," "," ",1
"Keyboarding on phone"," ","1"," "," "," "," "," "," "," ",1
"Kneeling/squatting"," "," "," "," "," ","1"," "," "," ",1
"Lifting less than 5 kg"," "," "," ","1"," "," "," "," "," ",1
"Lifting more than 5 kg"," "," "," ","1"," "," "," "," "," ",1
"Other climbing"," ","1"," "," "," "," "," "," "," ",1
"Pinching"," "," ","1"," "," "," "," "," "," ",1
"Pulling less than 5 kg"," "," "," ","1"," "," "," "," "," ",1
"Pulling more than 5 kg"," "," "," ","1"," "," "," "," "," ",1
"Pushing less than 5 kg"," "," "," "," "," "," ","1"," "," ",1
"Pushing more than 5 kg"," "," "," "," "," "," ","1"," "," ",1
"Reaching"," "," "," "," "," "," ","1"," "," ",1
"Sitting (Continuous)"," ","1"," "," "," "," "," "," "," ",1
"Sitting (Intermittent)"," "," "," "," "," ","1"," "," "," ",1
"Stair climbing"," ","1"," "," "," "," "," "," "," ",1
"Standing (Continuous)"," "," "," "," "," "," "," ","1"," ",1
"Standing (Intermittent)"," "," "," "," ","1"," "," "," "," ",1
"Travel via car required","1"," "," "," "," "," "," "," "," ",1
"Travel via public transportation required","1"," "," "," "," "," "," "," "," ",1
"Twisting /awkward posture"," "," "," "," "," ","1"," "," "," ",1
"Use of sharp tools","1"," "," "," "," "," "," "," "," ",1
"Walking"," "," "," "," "," "," "," ","1"," ",1
"Work only indoors"," "," "," "," "," "," "," "," ","1",1
"Work outdoors > 1 hour","1"," "," "," "," "," "," "," "," ",1
"Total","10","5","2","5","1","5","5","2","4",39
