"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","4"," "," "," "," ","3","1"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","2","5","1"," "," "
"Independent work"," "," ","3","3","2"," "," "
"Work at a fast pace"," "," ","2","5","1"," "," "
"Work under tight deadlines"," ","2","1","5"," "," "," "
"Work with clients that speak little or no English","3"," "," "," "," ","2","3"
"Work with clients who have experienced psychological trauma","3"," "," "," "," ","3","2"
"Work with clients who may be aggressive","6"," "," "," "," ","1","1"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","3","5"
"Work with clients with cognitive deficits","1"," "," "," "," ","4","3"
"Work with clients with multiple diagnoses"," "," "," "," "," ","5","3"
"Work with interdisciplinary team members"," "," ","3","4","1"," "," "
"Work with medically fragile clients and/or those at risk of dying","4"," "," "," "," ","2","2"
"Work with more than one preceptor"," ","2","3","1","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","1"," ","6","1"," "," "
"Work with other students"," "," ","1","6","1"," "," "
"Total","21","5","15","35","9","23","20"
