"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","1"," "," "," "," "," "," "
"Bending"," ","1"," "," "," "," "," "
"By hand"," "," "," "," ","1"," "," "
"Carrying less than 5 kg"," ","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","1"," "," "," "," "," "
"Congested/cluttered working areas","1"," "," "," "," "," "," "
"Exposure to chemicals","1"," "," "," "," "," "," "
"Exposure to excessive dust","1"," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","1"," "," "," "," "," "," "
"Exposure to infectious agents/disease","1"," "," "," "," "," "," "
"Exposure to insects or animals (e.g. bed bugs, cats)","1"," "," "," "," "," "," "
"Exposure to strong odors","1"," "," "," "," "," "," "
"Finger dexterity"," "," ","1"," "," "," "," "
"Grasping"," ","1"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","1"," "," "
"Keyboarding on phone"," ","1"," "," "," "," "," "
"Kneeling/squatting"," ","1"," "," "," "," "," "
"Lifting less than 5 kg"," ","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","1"," "," "," "," "," "
"Other climbing"," ","1"," "," "," "," "," "
"Pinching"," ","1"," "," "," "," "," "
"Pulling less than 5 kg"," ","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","1"," "," "," "," "," "
"Reaching"," ","1"," "," "," "," "," "
"Sitting (Continuous)"," "," "," "," ","1"," "," "
"Sitting (Intermittent)"," "," "," ","1"," "," "," "
"Stair climbing"," "," "," "," ","1"," "," "
"Standing (Continuous)"," "," "," "," ","1"," "," "
"Standing (Intermittent)"," "," "," "," ","1"," "," "
"Travel via car required","1"," "," "," "," "," "," "
"Travel via public transportation required","1"," "," "," "," "," "," "
"Twisting /awkward posture"," ","1"," "," "," "," "," "
"Use of sharp tools","1"," "," "," "," "," "," "
"Walking"," "," "," "," "," ","1"," "
"Work only indoors"," "," "," "," "," "," ","1"
"Work outdoors > 1 hour","1"," "," "," "," "," "," "
"Total","12","16","1","1","6","1","2"
