"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","8"," "," "," "," "," ","3"
"Group work (e.g. Client and family meetings, team meetings)"," ","1","4","6"," "," "," "
"Independent work"," "," ","7","3","1"," "," "
"Work at a fast pace"," ","3","4","4"," "," "," "
"Work under tight deadlines"," ","4"," ","7"," "," "," "
"Work with clients that speak little or no English","5"," "," "," "," "," ","6"
"Work with clients who have experienced psychological trauma","1"," "," "," "," ","8","2"
"Work with clients who may be aggressive","1"," "," "," "," ","2","8"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","9","1"
"Work with clients with cognitive deficits","2"," "," "," "," ","2","7"
"Work with clients with multiple diagnoses"," "," "," "," "," ","11"," "
"Work with interdisciplinary team members"," "," ","4","7"," "," "," "
"Work with medically fragile clients and/or those at risk of dying","8"," "," "," "," "," ","3"
"Work with more than one preceptor"," ","7","2","2"," "," "," "
"Work with Occupational Therapy Assistant(s)"," ","11"," "," "," "," "," "
"Work with other students"," ","8"," ","3"," "," "," "
"Total","26","34","21","32","1","32","30"
