"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","2"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," "," ","2"," "," "," "
"By hand"," ","2"," "," "," ","1"," "," "," "
"Carrying less than 5 kg"," ","2","1"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","2","1"," "," "," "," "," "," "
"Congested/cluttered working areas","2"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","3"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","3"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","2"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","3"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","1"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," "," "," "," "
"Exposure to strong odors","2"," "," "," "," "," "," "," ","1"
"Finger dexterity"," ","1","1"," "," "," ","1"," "," "
"Grasping"," "," ","1","2"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","1"," "," "," "
"Keyboarding on phone"," ","3"," "," "," "," "," "," "," "
"Kneeling/squatting"," "," "," "," "," ","3"," "," "," "
"Lifting less than 5 kg"," ","1","2"," "," "," "," "," "," "
"Lifting more than 5 kg"," ","1","1","1"," "," "," "," "," "
"Other climbing"," ","2"," "," "," ","1"," "," "," "
"Pinching"," ","1","2"," "," "," "," "," "," "
"Pulling less than 5 kg"," ","2","1"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","2","1"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","1","2"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","2","1"," "," "," "," "," "," "
"Reaching"," "," ","1","2"," "," "," "," "," "
"Sitting (Continuous)"," ","1"," "," "," ","1"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","1","1"," ","1"," "
"Stair climbing"," ","1"," "," ","1","1"," "," "," "
"Standing (Continuous)"," "," "," "," ","1","1"," ","1"," "
"Standing (Intermittent)"," "," "," "," "," ","1"," ","2"," "
"Travel via car required","2"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","3"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","2"," "," "," ","1"," "," "," "
"Use of sharp tools","3"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," "," ","3"," "," "," "
"Work only indoors","1"," "," "," "," "," "," "," ","2"
"Work outdoors > 1 hour","3"," "," "," "," "," "," "," "," "
"Total","34","27","15","5","5","17","1","5","8"
