"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," ","2"
"Bending"," ","2"," ","1","3"," "," "
"By hand"," ","1"," "," ","5"," "," "
"Carrying less than 5 kg"," ","2","4"," "," "," "," "
"Carrying more than 5 kg"," ","5","1"," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," ","3"
"Exposure to chemicals","5"," "," "," "," "," ","1"
"Exposure to excessive dust","6"," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," ","1"
"Exposure to extreme temperatures","4"," "," "," "," "," ","2"
"Exposure to infectious agents/disease","2"," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," ","3"
"Exposure to strong odors","3"," "," "," "," "," ","3"
"Finger dexterity"," ","3","3"," "," "," "," "
"Grasping"," ","3","3"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," ","2","4"," "," "
"Keyboarding on phone"," ","3"," "," ","3"," "," "
"Kneeling/squatting"," ","4"," "," ","2"," "," "
"Lifting less than 5 kg"," ","3","3"," "," "," "," "
"Lifting more than 5 kg"," ","6"," "," "," "," "," "
"Other climbing"," ","6"," "," "," "," "," "
"Pinching"," ","3","3"," "," "," "," "
"Pulling less than 5 kg"," ","6"," "," "," "," "," "
"Pulling more than 5 kg"," ","6"," "," "," "," "," "
"Pushing less than 5 kg"," ","5","1"," "," "," "," "
"Pushing more than 5 kg"," ","6"," "," "," "," "," "
"Reaching"," ","3","3"," "," "," "," "
"Sitting (Continuous)"," ","1"," ","1","3","1"," "
"Sitting (Intermittent)"," "," "," ","2","2","2"," "
"Stair climbing"," ","1"," ","1","4"," "," "
"Standing (Continuous)"," ","1"," ","1","4"," "," "
"Standing (Intermittent)"," "," "," ","1","5"," "," "
"Travel via car required","4"," "," "," "," "," ","2"
"Travel via public transportation required","4"," "," "," "," "," ","2"
"Twisting /awkward posture"," ","4"," "," ","2"," "," "
"Use of sharp tools","5"," "," "," "," "," ","1"
"Walking"," "," "," ","1","5"," "," "
"Work only indoors","5"," "," "," "," "," ","1"
"Work outdoors > 1 hour","4"," "," "," "," "," ","2"
"Total","57","74","21","10","42","3","27"
