"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","15"," "," "," "," "," "," "," ","2"
"Bending"," ","3"," "," ","3","11"," "," "," "
"By hand"," ","1"," "," ","2","13"," ","1"," "
"Carrying less than 5 kg"," ","5","12"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","13","4"," "," "," "," "," "," "
"Congested/cluttered working areas","12"," "," "," "," "," "," "," ","5"
"Exposure to chemicals","17"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","15"," "," "," "," "," "," "," ","2"
"Exposure to excessive noise /auditory distractions","12"," "," "," "," "," "," "," ","5"
"Exposure to extreme temperatures","15"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","7"," "," "," "," "," "," "," ","10"
"Exposure to insects or animals (e.g. bed bugs, cats)","15"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","11"," "," "," "," "," "," "," ","6"
"Finger dexterity"," ","2","12"," "," "," ","3"," "," "
"Grasping"," ","1","14","1"," "," ","1"," "," "
"Keyboarding on computer or tablet"," ","3"," "," ","2","11"," ","1"," "
"Keyboarding on phone"," ","10"," "," ","1","6"," "," "," "
"Kneeling/squatting"," ","10"," "," ","2","5"," "," "," "
"Lifting less than 5 kg"," ","4","11","1"," "," ","1"," "," "
"Lifting more than 5 kg"," ","10","6","1"," "," "," "," "," "
"Other climbing"," ","15"," "," "," ","2"," "," "," "
"Pinching"," ","3","12","1"," "," ","1"," "," "
"Pulling less than 5 kg"," ","14","3"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","14","3"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","13","4"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","12","5"," "," "," "," "," "," "
"Reaching"," ","1","14","1"," "," ","1"," "," "
"Sitting (Continuous)"," ","1"," "," ","4","8"," ","4"," "
"Sitting (Intermittent)"," "," "," "," ","10","5"," ","2"," "
"Stair climbing"," ","8"," "," ","1","8"," "," "," "
"Standing (Continuous)"," ","3"," "," ","4","10"," "," "," "
"Standing (Intermittent)"," ","1"," "," ","8","8"," "," "," "
"Travel via car required","15"," "," "," "," "," "," "," ","2"
"Travel via public transportation required","15"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","10"," "," ","1","6"," "," "," "
"Use of sharp tools","15"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","4","13"," "," "," "
"Work only indoors","4"," "," "," "," "," "," "," ","13"
"Work outdoors > 1 hour","15"," "," "," "," "," "," "," ","2"
"Total","183","157","100","5","42","106","7","8","55"
