"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","5","1","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","6","1","2"," "," "
"Follow multiple step commands","1"," "," "," ","5","3"
"Integrating new learning into practice"," ","6"," ","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","8","1"
"Practicing good judgement and decision-making"," ","4","1","4"," "," "
"Problem solving"," ","5","1","3"," "," "
"Reading electronic documents"," ","4","2","3"," "," "
"Reading paper documents (handwritten or typed)"," ","2","5","2"," "," "
"Require instant recall of facts/data"," "," "," "," ","4","5"
"Self-starting/initiating"," ","4"," ","5"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","4","1","4"," "," "
"Total","1","40","12","29","17","9"
