"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","9"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," ","1","8"," "," "," "
"By hand"," ","1"," "," ","2","7"," "," "," "
"Carrying less than 5 kg"," ","4","4","1"," "," ","1"," "," "
"Carrying more than 5 kg"," ","8","2"," "," "," "," "," "," "
"Congested/cluttered working areas","5"," "," "," "," "," "," "," ","5"
"Exposure to chemicals","8"," "," "," "," "," "," "," ","2"
"Exposure to excessive dust","10"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","7"," "," "," "," "," "," "," ","3"
"Exposure to extreme temperatures","8"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","1"," "," "," "," "," "," "," ","9"
"Exposure to insects or animals (e.g. bed bugs, cats)","6"," "," "," "," "," "," "," ","4"
"Exposure to strong odors","5"," "," "," "," "," "," "," ","5"
"Finger dexterity"," ","3","5"," "," "," ","2"," "," "
"Grasping"," ","2","5","1"," "," ","2"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","3","7"," "," "," "
"Keyboarding on phone"," ","8"," "," "," ","2"," "," "," "
"Kneeling/squatting"," ","3"," "," "," ","7"," "," "," "
"Lifting less than 5 kg"," ","2","6","1"," "," ","1"," "," "
"Lifting more than 5 kg"," ","8","2"," "," "," "," "," "," "
"Other climbing"," ","9"," "," "," ","1"," "," "," "
"Pinching"," ","2","6"," "," "," ","2"," "," "
"Pulling less than 5 kg"," ","5","5"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","6","4"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","5","5"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","7","3"," "," "," "," "," "," "
"Reaching"," ","2","5","1"," "," ","2"," "," "
"Sitting (Continuous)"," ","5"," "," ","1","4"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","3","6"," ","1"," "
"Stair climbing"," ","2"," "," ","1","7"," "," "," "
"Standing (Continuous)"," ","3"," "," ","2","4"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","5","3"," ","2"," "
"Travel via car required","9"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","9"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","4"," "," "," ","6"," "," "," "
"Use of sharp tools","8"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","4","5"," ","1"," "
"Work only indoors","3"," "," "," "," "," "," "," ","7"
"Work outdoors > 5 hour","9"," "," "," "," "," "," "," ","1"
"Total","97","90","52","4","22","67","10","5","43"
