"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," "," "
"Bending"," "," "," "," ","2","2"," "," "
"By hand"," "," "," "," "," ","4"," "," "
"Carrying less than 5 kg"," ","1","3"," "," "," "," "," "
"Carrying more than 5 kg"," ","3","1"," "," "," "," "," "
"Congested/cluttered working areas","2"," "," "," "," "," "," ","2"
"Exposure to chemicals","4"," "," "," "," "," "," "," "
"Exposure to excessive dust","3"," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","2"," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","3"," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","1"," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","2"," "," "," "," "," "," ","2"
"Exposure to strong odors","2"," "," "," "," "," "," ","2"
"Finger dexterity"," "," ","3","1"," "," "," "," "
"Grasping"," "," ","3","1"," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," "," ","3"," "," "
"Keyboarding on phone"," ","1"," "," "," ","3"," "," "
"Kneeling/squatting"," "," "," "," ","1","3"," "," "
"Lifting less than 5 kg"," "," ","4"," "," "," "," "," "
"Lifting more than 5 kg"," ","3","1"," "," "," "," "," "
"Other climbing"," ","3"," "," "," ","1"," "," "
"Pinching"," "," ","3","1"," "," "," "," "
"Pulling less than 5 kg"," ","4"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","3","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","3","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","3","1"," "," "," "," "," "
"Reaching"," "," ","3","1"," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","3"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","2","1","1"," "
"Stair climbing"," "," "," "," ","1","3"," "," "
"Standing (Continuous)"," ","1"," "," ","2","1"," "," "
"Standing (Intermittent)"," "," "," "," ","2","2"," "," "
"Travel via car required","4"," "," "," "," "," "," "," "
"Travel via public transportation required","3"," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","2"," "," "," ","2"," "," "
"Use of sharp tools","4"," "," "," "," "," "," "," "
"Walking"," "," "," "," ","2","2"," "," "
"Work only indoors","3"," "," "," "," "," "," ","1"
"Work outdoors > 1 hour","3"," "," "," "," "," "," ","1"
"Total","40","29","24","4","15","27","1","16"
