"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","8"," "," "," "," "," "," "," "
"Bending"," ","1"," "," ","2","5"," "," "
"By hand"," ","1"," "," ","1","6"," "," "
"Carrying less than 5 kg"," ","2","4","2"," "," "," "," "
"Carrying more than 5 kg"," ","6","2"," "," "," "," "," "
"Congested/cluttered working areas","7"," "," "," "," "," "," ","1"
"Exposure to chemicals","8"," "," "," "," "," "," "," "
"Exposure to excessive dust","8"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","8"," "," "," "," "," "," "," "
"Exposure to extreme temperatures","8"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","2"," "," "," "," "," "," ","6"
"Exposure to insects or animals (e.g. bed bugs, cats)","8"," "," "," "," "," "," "," "
"Exposure to strong odors","7"," "," "," "," "," "," ","1"
"Finger dexterity"," ","1","4","3"," "," "," "," "
"Grasping"," ","1","4","3"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","3","5"," "," "
"Keyboarding on phone"," ","6"," "," "," ","2"," "," "
"Kneeling/squatting"," "," "," "," ","2","6"," "," "
"Lifting less than 5 kg"," ","1","4","3"," "," "," "," "
"Lifting more than 5 kg"," ","6","2"," "," "," "," "," "
"Other climbing"," ","8"," "," "," "," "," "," "
"Pinching"," ","2","4","2"," "," "," "," "
"Pulling less than 5 kg"," ","6","2"," "," "," "," "," "
"Pulling more than 5 kg"," ","6","2"," "," "," "," "," "
"Pushing less than 5 kg"," ","6","2"," "," "," "," "," "
"Pushing more than 5 kg"," ","5","3"," "," "," "," "," "
"Reaching"," ","1","4","3"," "," "," "," "
"Sitting (Continuous)"," ","3"," "," ","1","4"," "," "
"Sitting (Intermittent)"," "," "," "," ","1","6","1"," "
"Stair climbing"," ","2"," "," "," ","6"," "," "
"Standing (Continuous)"," ","1"," "," ","1","6"," "," "
"Standing (Intermittent)"," "," "," "," ","2","5","1"," "
"Travel via car required","8"," "," "," "," "," "," "," "
"Travel via public transportation required","8"," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","4"," "," ","1","3"," "," "
"Use of sharp tools","7"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","3","5"," "," "
"Work only indoors","1"," "," "," "," "," "," ","7"
"Work outdoors > 2 hour","8"," "," "," "," "," "," "," "
"Total","96","69","37","16","17","59","2","16"
