"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","19"," "," "," "," "," "," "," ","1"
"Bending"," ","5"," "," ","3","12"," "," "," "
"By hand"," ","4"," "," ","4","12"," "," "," "
"Carrying less than 5 kg"," ","4","14","2"," "," "," "," "," "
"Carrying more than 5 kg"," ","14","6"," "," "," "," "," "," "
"Congested/cluttered working areas","15"," "," "," "," "," "," "," ","5"
"Exposure to chemicals","19"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","20"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","15"," "," "," "," "," "," "," ","5"
"Exposure to extreme temperatures","18"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","14"," "," "," "," "," "," "," ","6"
"Exposure to insects or animals (e.g. bed bugs, cats)","19"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","17"," "," "," "," "," "," "," ","3"
"Finger dexterity"," ","2","7","5"," "," ","6"," "," "
"Grasping"," ","2","8","6"," "," ","4"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","6","12"," ","1"," "
"Keyboarding on phone"," ","18"," "," "," ","2"," "," "," "
"Kneeling/squatting"," ","8"," "," ","3","9"," "," "," "
"Lifting less than 5 kg"," ","4","12","3"," "," ","1"," "," "
"Lifting more than 5 kg"," ","13","7"," "," "," "," "," "," "
"Other climbing"," ","16"," "," "," ","4"," "," "," "
"Pinching"," ","2","9","5"," "," ","4"," "," "
"Pulling less than 5 kg"," ","11","7","2"," "," "," "," "," "
"Pulling more than 5 kg"," ","16","4"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","12","7","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","15","5"," "," "," "," "," "," "
"Reaching"," ","4","7","6"," "," ","3"," "," "
"Sitting (Continuous)"," ","3"," "," ","5","10"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","8","8"," ","4"," "
"Stair climbing"," ","8"," "," ","3","9"," "," "," "
"Standing (Continuous)"," ","4"," "," ","6","9"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","8","10"," ","2"," "
"Travel via car required","16"," "," "," "," "," "," "," ","4"
"Travel via public transportation required","19"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","11"," "," ","1","8"," "," "," "
"Use of sharp tools","13"," "," "," "," "," "," "," ","7"
"Walking"," ","1"," "," ","4","15"," "," "," "
"Work only indoors","5"," "," "," "," "," "," "," ","15"
"Work outdoors > 1 hour","20"," "," "," "," "," "," "," "," "
"Total","229","178","93","30","51","120","18","10","51"
