"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","6","3","10"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","5","4","10"," "," "
"Follow multiple step commands","1"," "," "," "," ","13","5"
"Integrating new learning into practice"," "," ","5","4","10"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","11","7"
"Practicing good judgement and decision-making"," "," ","3","2","14"," "," "
"Problem solving"," "," ","4","3","12"," "," "
"Reading electronic documents"," ","2","2","12","3"," "," "
"Reading paper documents (handwritten or typed)"," ","2","4","12","1"," "," "
"Require instant recall of facts/data"," "," "," "," "," ","15","4"
"Self-starting/initiating"," "," ","8","3","8"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","7","3","9"," "," "
"Total","2","4","44","46","77","39","16"
