"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," ","2","6"
"Group work (e.g. Client and family meetings, team meetings)"," ","1","1","9"," "," "," "
"Independent work"," "," ","6"," ","5"," "," "
"Work at a fast pace"," "," ","2","5","4"," "," "
"Work under tight deadlines"," ","4","2","4","1"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","3","7"
"Work with clients who have experienced psychological trauma","7"," "," "," "," ","2","2"
"Work with clients who may be aggressive","7"," "," "," "," "," ","4"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","7","4"
"Work with clients with cognitive deficits","3"," "," "," "," ","6","2"
"Work with clients with multiple diagnoses"," "," "," "," "," ","9","2"
"Work with interdisciplinary team members"," ","1","3","5","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","2"," "," "," "," ","5","4"
"Work with more than one preceptor"," ","2","2","5","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","9"," ","2"," "," "," "
"Work with other students"," ","3","5","3"," "," "," "
"Total","23","20","21","33","14","34","31"
