"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","5"," "," "," "," "," ","1",1
"Group work (e.g. Client and family meetings, team meetings)"," ","1","2","3"," "," "," ",1
"Independent work"," "," ","3"," ","3"," "," ",1
"Work at a fast pace"," ","2"," ","4"," "," "," ",1
"Work under tight deadlines"," ","4","1","1"," "," "," ",1
"Work with clients that speak little or no English","2"," "," "," "," ","2","2",1
"Work with clients who have experienced psychological trauma","3"," "," "," "," "," ","3",1
"Work with clients who may be aggressive","4"," "," "," "," "," ","2",1
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","4","1",1
"Work with clients with cognitive deficits","1"," "," "," "," ","4","1",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","4","2",1
"Work with interdisciplinary team members"," "," ","2","2","2"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","3","2",1
"Work with more than one preceptor"," ","2","2","1","1"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","5"," ","1"," "," "," ",1
"Work with other students"," ","1","1","1","3"," "," ",1
"Total","17","15","11","13","9","17","14",16
