"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","3"," ","8"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","3","6"," "," "
"Follow multiple step commands"," "," "," "," ","9","2"
"Integrating new learning into practice"," ","3","1","7"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","9","2"
"Practicing good judgement and decision-making"," ","2","2","7"," "," "
"Problem solving"," ","3","1","7"," "," "
"Reading electronic documents"," ","6","4","1"," "," "
"Reading paper documents (handwritten or typed)"," ","5","6"," "," "," "
"Require instant recall of facts/data","1"," "," "," ","7","3"
"Self-starting/initiating"," ","4","2","5"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","5","2","4"," "," "
"Total","1","33","21","45","25","7"
