"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","8"," "," "," "," "," "," "," ","1"
"Bending"," ","3"," "," ","1","5"," "," "," "
"By hand"," ","3"," "," ","2","4"," "," "," "
"Carrying less than 5 kg"," ","8","1"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","9"," "," "," "," "," "," "," "
"Congested/cluttered working areas","7"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","8"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","9"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," "," "," ","4"
"Exposure to extreme temperatures","9"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","5"," "," "," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","6"," "," "," "," "," "," "," ","3"
"Exposure to strong odors","4"," "," "," "," "," "," "," ","5"
"Finger dexterity"," ","1","4","4"," "," "," "," "," "
"Grasping"," "," ","5","3"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","1","5"," ","3"," "
"Keyboarding on phone"," ","8"," "," "," ","1"," "," "," "
"Kneeling/squatting"," ","3"," "," "," ","6"," "," "," "
"Lifting less than 5 kg"," ","4","4","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","9"," "," "," "," "," "," "," "
"Other climbing"," ","8"," "," "," ","1"," "," "," "
"Pinching"," ","3","4","2"," "," "," "," "," "
"Pulling less than 5 kg"," ","7","1"," "," "," ","1"," "," "
"Pulling more than 5 kg"," ","9"," "," "," "," "," "," "," "
"Pushing less than 5 kg"," ","5","3"," "," "," ","1"," "," "
"Pushing more than 5 kg"," ","9"," "," "," "," "," "," "," "
"Reaching"," ","1","4","4"," "," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","3","4"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","2","4"," ","3"," "
"Stair climbing"," ","5"," "," "," ","4"," "," "," "
"Standing (Continuous)"," ","1"," "," ","2","4"," ","2"," "
"Standing (Intermittent)"," "," "," "," ","4","1"," ","4"," "
"Travel via car required","9"," "," "," "," "," "," "," "," "
"Travel via public transportation required","9"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","6"," "," ","1","2"," "," "," "
"Use of sharp tools","5"," "," "," "," "," "," "," ","4"
"Walking"," "," "," "," ","4","3"," ","2"," "
"Work only indoors","2"," "," "," "," "," "," "," ","7"
"Work outdoors > 1 hour","7"," "," "," "," "," "," "," ","2"
"Total","93","103","26","14","20","44","3","15","33"
