"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","4"," "," "," "," ","3","2",1
"Group work (e.g. Client and family meetings, team meetings)"," ","3"," ","6"," "," "," ",1
"Independent work"," "," ","3","5","1"," "," ",1
"Work at a fast pace"," ","4","2","3"," "," "," ",1
"Work under tight deadlines"," ","5"," ","4"," "," "," ",1
"Work with clients that speak little or no English","1"," "," "," "," ","5","3",1
"Work with clients who have experienced psychological trauma","4"," "," "," "," ","1","4",1
"Work with clients who may be aggressive","6"," "," "," "," ","2","1",1
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","2","6",1
"Work with clients with cognitive deficits"," "," "," "," "," ","6","3",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","6","3",1
"Work with interdisciplinary team members"," ","1","2","6"," "," "," ",1
"Work with medically fragile clients and/or those at risk of dying","5"," "," "," "," ","1","3",1
"Work with more than one preceptor"," ","3","2","1","3"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","1"," ","6","2"," "," ",1
"Work with other students"," ","4"," ","4","1"," "," ",1
"Total","21","21","9","35","7","26","25",16
