"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","12","8","19"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","4","10","9","16"," "," "
"Follow multiple step commands","8"," "," "," "," ","25","6"
"Integrating new learning into practice"," "," ","10","7","22"," "," "
"Memory aids can be used (e.g. information sheets)","3"," "," "," "," ","24","12"
"Practicing good judgement and decision-making"," "," ","13","5","21"," "," "
"Problem solving"," "," ","14","9","16"," "," "
"Reading electronic documents"," ","5","9","22","3"," "," "
"Reading paper documents (handwritten or typed)"," ","1","13","20","5"," "," "
"Require instant recall of facts/data","8"," "," "," "," ","20","11"
"Self-starting/initiating"," "," ","14","7","18"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","6","12","21"," "," "
"Total","19","10","101","99","141","69","29"
