"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","3"," "," "," "," "," "," "," ","1"
"Bending"," "," "," "," ","1","3"," "," "," "
"By hand"," ","2"," "," "," ","2"," "," "," "
"Carrying less than 3 kg"," ","1","3"," "," "," "," "," "," "
"Carrying more than 3 kg"," ","2","2"," "," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","4"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","4"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","4"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","3"," "," "," "," "," "," "," ","1"
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," "," "," "," "
"Exposure to strong odors","3"," "," "," "," "," "," "," ","1"
"Finger dexterity"," "," ","2","1"," "," ","1"," "," "
"Grasping"," "," ","2","2"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","2"," "," "," "
"Keyboarding on phone"," ","4"," "," "," "," "," "," "," "
"Kneeling/squatting"," "," "," "," ","1","3"," "," "," "
"Lifting less than 3 kg"," ","1","2","1"," "," "," "," "," "
"Lifting more than 3 kg"," ","2","2"," "," "," "," "," "," "
"Other climbing"," ","3"," "," "," ","1"," "," "," "
"Pinching"," "," ","3","1"," "," "," "," "," "
"Pulling less than 3 kg"," ","2","1","1"," "," "," "," "," "
"Pulling more than 3 kg"," ","3","1"," "," "," "," "," "," "
"Pushing less than 3 kg"," ","2","1","1"," "," "," "," "," "
"Pushing more than 3 kg"," ","2","2"," "," "," "," "," "," "
"Reaching"," "," ","2","2"," "," "," "," "," "
"Sitting (Continuous)"," "," "," "," "," ","3"," ","1"," "
"Sitting (Intermittent)"," "," "," "," "," ","2"," ","2"," "
"Stair climbing"," "," "," "," ","2","2"," "," "," "
"Standing (Continuous)"," "," "," "," "," ","3"," ","1"," "
"Standing (Intermittent)"," "," "," "," "," ","2"," ","2"," "
"Travel via car required","3"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","4"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","2"," "," "," ","2"," "," "," "
"Use of sharp tools","4"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","1","3"," "," "," "
"Work only indoors","2"," "," "," "," "," "," "," ","2"
"Work outdoors > 2 hour","4"," "," "," "," "," "," "," "," "
"Total","48","26","23","9","7","28","1","6","8"
