"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","4","2","10"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","3","3","10"," "," "
"Follow multiple step commands","1"," "," "," "," ","11","4"
"Integrating new learning into practice"," "," ","3","4","9"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","10","6"
"Practicing good judgement and decision-making"," "," ","2","2","12"," "," "
"Problem solving"," "," ","2","3","11"," "," "
"Reading electronic documents"," ","2","2","8","4"," "," "
"Reading paper documents (handwritten or typed)"," ","2","3","9","2"," "," "
"Require instant recall of facts/data"," "," "," "," "," ","11","5"
"Self-starting/initiating"," "," ","5","3","8"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","4","3","9"," "," "
"Total","1","4","28","37","75","32","15"
