"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","23"," "," "," "," ","8","45"
"Group work (e.g. Client and family meetings, team meetings)"," ","3","7","61","5"," "," "
"Independent work"," "," ","26","27","23"," "," "
"Work at a fast pace"," ","3","23","20","30"," "," "
"Work under tight deadlines"," ","9","21","34","12"," "," "
"Work with clients that speak little or no English","3"," "," "," "," ","31","42"
"Work with clients who have experienced psychological trauma","23"," "," "," "," ","15","38"
"Work with clients who may be aggressive","36"," "," "," "," ","2","38"
"Work with clients with challenging economic and/or personal circumstances","5"," "," "," "," ","35","36"
"Work with clients with cognitive deficits","4"," "," "," "," ","46","26"
"Work with clients with multiple diagnoses","3"," "," "," "," ","59","14"
"Work with interdisciplinary team members"," "," ","19","38","19"," "," "
"Work with medically fragile clients and/or those at risk of dying","31"," "," "," "," ","14","31"
"Work with more than one preceptor"," ","46","9","13","8"," "," "
"Work with Occupational Therapy Assistant(s)"," ","9","14","47","6"," "," "
"Work with other students"," ","30","9","34","3"," "," "
"Total","128","100","128","274","106","210","270"
