"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","6"," "," "," "," "," "," "," "
"Bending"," ","1"," "," ","2","3"," "," "
"By hand"," ","1"," "," ","1","4"," "," "
"Carrying less than 5 kg"," ","2","2","2"," "," "," "," "
"Carrying more than 5 kg"," ","5","1"," "," "," "," "," "
"Congested/cluttered working areas","6"," "," "," "," "," "," "," "
"Exposure to chemicals","6"," "," "," "," "," "," "," "
"Exposure to excessive dust","6"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","6"," "," "," "," "," "," "," "
"Exposure to extreme temperatures","6"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","2"," "," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","6"," "," "," "," "," "," "," "
"Exposure to strong odors","5"," "," "," "," "," "," ","1"
"Finger dexterity"," ","1","2","3"," "," "," "," "
"Grasping"," ","1","2","3"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","4"," "," "
"Keyboarding on phone"," ","5"," "," "," ","1"," "," "
"Kneeling/squatting"," "," "," "," ","2","4"," "," "
"Lifting less than 5 kg"," ","1","2","3"," "," "," "," "
"Lifting more than 5 kg"," ","4","2"," "," "," "," "," "
"Other climbing"," ","6"," "," "," "," "," "," "
"Pinching"," ","2","2","2"," "," "," "," "
"Pulling less than 5 kg"," ","4","2"," "," "," "," "," "
"Pulling more than 5 kg"," ","4","2"," "," "," "," "," "
"Pushing less than 5 kg"," ","4","2"," "," "," "," "," "
"Pushing more than 5 kg"," ","3","3"," "," "," "," "," "
"Reaching"," ","1","2","3"," "," "," "," "
"Sitting (Continuous)"," ","2"," "," ","1","3"," "," "
"Sitting (Intermittent)"," "," "," "," ","1","4","1"," "
"Stair climbing"," ","2"," "," "," ","4"," "," "
"Standing (Continuous)"," "," "," "," ","1","5"," "," "
"Standing (Intermittent)"," "," "," "," ","2","3","1"," "
"Travel via car required","6"," "," "," "," "," "," "," "
"Travel via public transportation required","6"," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","3"," "," ","1","2"," "," "
"Use of sharp tools","5"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","3","3"," "," "
"Work only indoors"," "," "," "," "," "," "," ","6"
"Work outdoors > 1 hour","6"," "," "," "," "," "," "," "
"Total","72","52","24","16","16","40","2","12"
