"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","8"," "," "," "," ","2","10"
"Group work (e.g. Client and family meetings, team meetings)"," ","1"," ","19"," "," "," "
"Independent work"," "," ","6","10","4"," "," "
"Work at a fast pace"," ","1","5","5","9"," "," "
"Work under tight deadlines"," ","2","4","10","4"," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","7","13"
"Work with clients who have experienced psychological trauma","8"," "," "," "," ","5","7"
"Work with clients who may be aggressive","6"," "," "," "," ","1","13"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","11","9"
"Work with clients with cognitive deficits"," "," "," "," "," ","15","5"
"Work with clients with multiple diagnoses"," "," "," "," "," ","18","2"
"Work with interdisciplinary team members"," "," ","5","13","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","4"," "," "," "," ","8","8"
"Work with more than one preceptor"," ","12","2","3","3"," "," "
"Work with Occupational Therapy Assistant(s)"," ","3","4","13"," "," "," "
"Work with other students"," ","7","2","11"," "," "," "
"Total","26","26","28","84","22","67","67"
