"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","7"," "," "," "," ","4","16"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","2","24","1"," "," "
"Independent work"," "," ","9","14","4"," "," "
"Work at a fast pace"," ","1","8","10","8"," "," "
"Work under tight deadlines"," ","2","7","15","3"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","8","18"
"Work with clients who have experienced psychological trauma","5"," "," "," "," ","10","12"
"Work with clients who may be aggressive","6"," "," "," "," ","5","16"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","17","10"
"Work with clients with cognitive deficits"," "," "," "," "," ","21","6"
"Work with clients with multiple diagnoses"," "," "," "," "," ","25","2"
"Work with interdisciplinary team members"," "," ","9","14","4"," "," "
"Work with medically fragile clients and/or those at risk of dying","2"," "," "," "," ","9","16"
"Work with more than one preceptor"," ","13","3","7","4"," "," "
"Work with Occupational Therapy Assistant(s)"," ","7","6","14"," "," "," "
"Work with other students"," ","9","2","15","1"," "," "
"Total","21","32","46","113","25","99","96"
