"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","9"," "," "," "," ","9","21"
"Group work (e.g. Client and family meetings, team meetings)"," ","3","4","28","4"," "," "
"Independent work"," "," ","8","18","13"," "," "
"Work at a fast pace"," ","1","11","8","19"," "," "
"Work under tight deadlines"," ","3","13","16","7"," "," "
"Work with clients that speak little or no English","3"," "," "," "," ","17","19"
"Work with clients who have experienced psychological trauma","9"," "," "," "," ","7","23"
"Work with clients who may be aggressive","15"," "," "," "," ","3","21"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","22","17"
"Work with clients with cognitive deficits","3"," "," "," "," ","27","9"
"Work with clients with multiple diagnoses"," "," "," "," "," ","35","4"
"Work with interdisciplinary team members"," "," ","11","19","9"," "," "
"Work with medically fragile clients and/or those at risk of dying","9"," "," "," "," ","15","15"
"Work with more than one preceptor"," ","20","5","9","5"," "," "
"Work with Occupational Therapy Assistant(s)"," ","5","4","24","6"," "," "
"Work with other students"," ","18","4","15","2"," "," "
"Total","48","50","60","137","65","135","129"
