"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","37"," "," "," "," "," "," "," ","2"
"Bending"," ","10"," "," ","2","27"," "," "," "
"By hand"," ","6"," "," ","8","22"," ","3"," "
"Carrying less than 5 kg"," ","14","22","1"," "," ","2"," "," "
"Carrying more than 5 kg"," ","30","7","2"," "," "," "," "," "
"Congested/cluttered working areas","31"," "," "," "," "," "," "," ","8"
"Exposure to chemicals","37"," "," "," "," "," "," "," ","2"
"Exposure to excessive dust","38"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","34"," "," "," "," "," "," "," ","5"
"Exposure to extreme temperatures","35"," "," "," "," "," "," "," ","4"
"Exposure to infectious agents/disease","24"," "," "," "," "," "," "," ","15"
"Exposure to insects or animals (e.g. bed bugs, cats)","38"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","32"," "," "," "," "," "," "," ","7"
"Finger dexterity"," ","5","18","7"," "," ","9"," "," "
"Grasping"," ","3","21","8"," "," ","7"," "," "
"Keyboarding on computer or tablet"," ","3"," "," ","12","22"," ","2"," "
"Keyboarding on phone"," ","33"," "," ","1","5"," "," "," "
"Kneeling/squatting"," ","19"," "," ","2","18"," "," "," "
"Lifting less than 5 kg"," ","12","17","6"," "," ","4"," "," "
"Lifting more than 5 kg"," ","25","11","3"," "," "," "," "," "
"Other climbing"," ","35"," "," "," ","4"," "," "," "
"Pinching"," ","7","20","7"," "," ","5"," "," "
"Pulling less than 5 kg"," ","29","8","1"," "," ","1"," "," "
"Pulling more than 5 kg"," ","31","5","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","24","13","1"," "," ","1"," "," "
"Pushing more than 5 kg"," ","25","11","3"," "," "," "," "," "
"Reaching"," ","5","23","4"," "," ","7"," "," "
"Sitting (Continuous)"," ","8"," "," ","8","18"," ","5"," "
"Sitting (Intermittent)"," ","1"," "," ","21","9"," ","8"," "
"Stair climbing"," ","20"," "," ","1","18"," "," "," "
"Standing (Continuous)"," ","12"," "," ","7","19"," ","1"," "
"Standing (Intermittent)"," ","1"," "," ","20","15"," ","3"," "
"Travel via car required","32"," "," "," "," "," "," "," ","7"
"Travel via public transportation required","36"," "," "," "," "," "," "," ","3"
"Twisting /awkward posture"," ","23"," "," "," ","16"," "," "," "
"Use of sharp tools","28"," "," "," "," "," "," "," ","11"
"Walking"," ","1"," "," ","6","31"," ","1"," "
"Work only indoors","10"," "," "," "," "," "," "," ","29"
"Work outdoors > 1 hour","37"," "," "," "," "," "," "," ","2"
"Total","449","382","176","46","88","224","36","23","97"
