"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","2"," "," "," "," "," ","1"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","2"," "," "," "
"Independent work"," "," ","1"," ","2"," "," "
"Work at a fast pace"," "," ","1","2"," "," "," "
"Work under tight deadlines"," ","2"," ","1"," "," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","2","1"
"Work with clients who have experienced psychological trauma","1"," "," "," "," ","1","1"
"Work with clients who may be aggressive","2"," "," "," "," "," ","1"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","3"," "
"Work with clients with cognitive deficits","1"," "," "," "," ","2"," "
"Work with clients with multiple diagnoses"," "," "," "," "," ","2","1"
"Work with interdisciplinary team members"," "," "," ","2","1"," "," "
"Work with medically fragile clients and/or those at risk of dying","2"," "," "," "," "," ","1"
"Work with more than one preceptor"," "," ","1","1","1"," "," "
"Work with Occupational Therapy Assistant(s)"," ","3"," "," "," "," "," "
"Work with other students"," ","1","2"," "," "," "," "
"Total","8","6","6","8","4","10","6"
