"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","9"," "," "," "," "," "," "," "
"Bending"," ","1"," "," ","3","5"," "," "
"By hand"," ","1"," "," ","2","6"," "," "
"Carrying less than 5 kg"," ","3","4","2"," "," "," "," "
"Carrying more than 5 kg"," ","8","1"," "," "," "," "," "
"Congested/cluttered working areas","9"," "," "," "," "," "," "," "
"Exposure to chemicals","9"," "," "," "," "," "," "," "
"Exposure to excessive dust","9"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","9"," "," "," "," "," "," "," "
"Exposure to extreme temperatures","9"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","2"," "," "," "," "," "," ","7"
"Exposure to insects or animals (e.g. bed bugs, cats)","9"," "," "," "," "," "," "," "
"Exposure to strong odors","8"," "," "," "," "," "," ","1"
"Finger dexterity"," ","1","5","3"," "," "," "," "
"Grasping"," ","1","5","3"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","4","5"," "," "
"Keyboarding on phone"," ","8"," "," "," ","1"," "," "
"Kneeling/squatting"," "," "," "," ","3","6"," "," "
"Lifting less than 5 kg"," ","1","4","4"," "," "," "," "
"Lifting more than 5 kg"," ","5","4"," "," "," "," "," "
"Other climbing"," ","9"," "," "," "," "," "," "
"Pinching"," ","2","5","2"," "," "," "," "
"Pulling less than 5 kg"," ","7","2"," "," "," "," "," "
"Pulling more than 5 kg"," ","7","2"," "," "," "," "," "
"Pushing less than 5 kg"," ","7","2"," "," "," "," "," "
"Pushing more than 5 kg"," ","6","3"," "," "," "," "," "
"Reaching"," ","1","5","3"," "," "," "," "
"Sitting (Continuous)"," ","4"," "," ","1","4"," "," "
"Sitting (Intermittent)"," "," "," "," ","2","6","1"," "
"Stair climbing"," ","3"," "," "," ","5","1"," "
"Standing (Continuous)"," ","1"," "," ","2","6"," "," "
"Standing (Intermittent)"," "," "," "," ","3","4","2"," "
"Travel via car required","9"," "," "," "," "," "," "," "
"Travel via public transportation required","9"," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","5"," "," ","1","3"," "," "
"Use of sharp tools","8"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","3","5","1"," "
"Work only indoors"," "," "," "," "," "," "," ","9"
"Work outdoors > 1 hour","9"," "," "," "," "," "," "," "
"Total","108","81","42","17","24","56","5","18"
