"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","4","2","6"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","4","5","2"," "," "
"Follow multiple step commands","1"," "," "," "," ","7","4"
"Integrating new learning into practice"," "," ","6","2","4"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","9","3"
"Practicing good judgement and decision-making"," "," ","6","2","4"," "," "
"Problem solving"," "," ","7","3","2"," "," "
"Reading electronic documents"," ","1","3","7","1"," "," "
"Reading paper documents (handwritten or typed)"," "," ","6","4","2"," "," "
"Require instant recall of facts/data"," "," "," "," "," ","6","6"
"Self-starting/initiating"," "," ","7","1","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","4","3","5"," "," "
"Total","1","2","47","29","30","22","13"
