"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","20"," "," "," "," ","16","40",2
"Group work (e.g. Client and family meetings, team meetings)"," ","9","11","55","1"," "," ",2
"Independent work"," ","1","25","32","18"," "," ",2
"Work at a fast pace"," ","1","10","13","52"," "," ",2
"Work under tight deadlines"," ","11","20","28","17"," "," ",2
"Work with clients that speak little or no English","1"," "," "," "," ","43","32",2
"Work with clients who have experienced psychological trauma","24"," "," "," "," ","14","38",2
"Work with clients who may be aggressive","25"," "," "," "," ","9","42",2
"Work with clients with challenging economic and/or personal circumstances","3"," "," "," "," ","42","31",2
"Work with clients with cognitive deficits","1"," "," "," "," ","64","11",2
"Work with clients with multiple diagnoses"," "," "," "," "," ","69","7",2
"Work with interdisciplinary team members"," "," ","24","22","30"," "," ",2
"Work with medically fragile clients and/or those at risk of dying","4"," "," "," "," ","47","25",2
"Work with more than one preceptor"," ","55","5","10","6"," "," ",2
"Work with Occupational Therapy Assistant(s)"," ","27","6","42","1"," "," ",2
"Work with other students"," ","43","5","26","2"," "," ",2
"Total","78","147","106","228","127","304","226",32
