"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","17"," "," "," "," "," "," "," ","2"
"Bending"," "," "," "," ","2","16"," ","1"," "
"By hand"," ","3"," "," ","3","13"," "," "," "
"Carrying less than 5 kg"," ","4","11","1"," "," ","3"," "," "
"Carrying more than 5 kg"," ","15","4"," "," "," "," "," "," "
"Congested/cluttered working areas","8"," "," "," "," "," "," "," ","11"
"Exposure to chemicals","15"," "," "," "," "," "," "," ","4"
"Exposure to excessive dust","18"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","13"," "," "," "," "," "," "," ","6"
"Exposure to extreme temperatures","17"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","17"
"Exposure to insects or animals (e.g. bed bugs, cats)","18"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","15"," "," "," "," "," "," "," ","4"
"Finger dexterity"," ","2","9","3"," "," ","5"," "," "
"Grasping"," ","2","12"," "," "," ","5"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","15"," ","2"," "
"Keyboarding on phone"," ","18"," "," "," ","1"," "," "," "
"Kneeling/squatting"," ","1"," "," "," ","17"," ","1"," "
"Lifting less than 5 kg"," ","4","7","3"," "," ","5"," "," "
"Lifting more than 5 kg"," ","8","10","1"," "," "," "," "," "
"Other climbing"," ","18"," "," "," ","1"," "," "," "
"Pinching"," ","5","10"," "," "," ","4"," "," "
"Pulling less than 5 kg"," ","10","7"," "," "," ","2"," "," "
"Pulling more than 5 kg"," ","14","4","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","5","11","1"," "," ","2"," "," "
"Pushing more than 5 kg"," ","6","10","3"," "," "," "," "," "
"Reaching"," ","1","13","1"," "," ","4"," "," "
"Sitting (Continuous)"," ","5"," "," ","2","11"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","9","8"," ","2"," "
"Stair climbing"," ","10"," "," ","1","7"," ","1"," "
"Standing (Continuous)"," ","1"," "," ","6","10"," ","2"," "
"Standing (Intermittent)"," "," "," "," ","9","4"," ","6"," "
"Travel via car required","15"," "," "," "," "," "," "," ","4"
"Travel via public transportation required","18"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","6"," "," ","1","11"," ","1"," "
"Use of sharp tools","16"," "," "," "," "," "," "," ","3"
"Walking"," "," "," "," ","8","6"," ","5"," "
"Work only indoors","3"," "," "," "," "," "," "," ","16"
"Work outdoors > 1 hour","19"," "," "," "," "," "," "," "," "
"Total","194","138","108","14","43","120","30","22","72"
