"Question","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","3"," "," "
"Follow multiple step commands"," "," ","2","1"
"Integrating new learning into practice"," ","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," ","2","1"
"Practicing good judgement and decision-making"," ","3"," "," "
"Problem solving"," ","3"," "," "
"Reading electronic documents","3"," "," "," "
"Reading paper documents (handwritten or typed)","3"," "," "," "
"Require instant recall of facts/data"," "," ","2","1"
"Self-starting/initiating"," ","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","3"," "," "
"Total","6","21","6","3"
