"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","15","8","22"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","4","15","10","16"," "," "
"Follow multiple step commands","9"," "," "," "," ","28","8"
"Integrating new learning into practice"," "," ","12","10","23"," "," "
"Memory aids can be used (e.g. information sheets)","2"," "," "," "," ","31","12"
"Practicing good judgement and decision-making"," "," ","17","5","23"," "," "
"Problem solving"," "," ","21","8","16"," "," "
"Reading electronic documents"," ","7","12","22","4"," "," "
"Reading paper documents (handwritten or typed)"," ","1","16","22","6"," "," "
"Require instant recall of facts/data","9"," "," "," "," ","23","13"
"Self-starting/initiating"," ","1","18","7","19"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","7","13","25"," "," "
"Total","20","13","133","105","154","82","33"
