"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","6"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," ","1","4"," ","1"," "
"By hand"," ","3"," "," ","1","3"," "," "," "
"Carrying less than 7 kg"," ","3","4"," "," "," "," "," "," "
"Carrying more than 7 kg"," ","5","2"," "," "," "," "," "," "
"Congested/cluttered working areas","6"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","7"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","7"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","6"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","7"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","3"," "," "," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","7"," "," "," "," "," "," "," "," "
"Exposure to strong odors","6"," "," "," "," "," "," "," ","1"
"Finger dexterity"," ","2","3"," "," "," ","2"," "," "
"Grasping"," "," ","4","2"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","4","3"," "," "," "
"Keyboarding on phone"," ","7"," "," "," "," "," "," "," "
"Kneeling/squatting"," "," "," "," ","1","5"," ","1"," "
"Lifting less than 7 kg"," ","1","5","1"," "," "," "," "," "
"Lifting more than 7 kg"," ","3","3","1"," "," "," "," "," "
"Other climbing"," ","6"," "," "," ","1"," "," "," "
"Pinching"," ","2","4"," "," "," ","1"," "," "
"Pulling less than 7 kg"," ","5","2"," "," "," "," "," "," "
"Pulling more than 7 kg"," ","6","1"," "," "," "," "," "," "
"Pushing less than 7 kg"," ","3","4"," "," "," "," "," "," "
"Pushing more than 7 kg"," ","6","1"," "," "," "," "," "," "
"Reaching"," "," ","4","2"," "," ","1"," "," "
"Sitting (Continuous)"," ","2"," "," "," ","3"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","2","3"," ","2"," "
"Stair climbing"," ","1"," "," ","1","3"," ","2"," "
"Standing (Continuous)"," "," "," "," ","3","2"," ","2"," "
"Standing (Intermittent)"," "," "," "," ","2","1"," ","4"," "
"Travel via car required","6"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","6"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","4"," "," "," ","2"," ","1"," "
"Use of sharp tools","7"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","1","4"," ","2"," "
"Work only indoors","1"," "," "," "," "," "," "," ","6"
"Work outdoors > 1 hour","7"," "," "," "," "," "," "," "," "
"Total","82","60","37","6","16","34","5","17","16"
