"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","8"," "," "," "," "," "," ","2"
"Bending"," ","5"," "," ","1","4"," "," "
"By hand"," ","3"," "," "," ","7"," "," "
"Carrying less than 5 kg"," ","5","4","1"," "," "," "," "
"Carrying more than 5 kg"," ","8","2"," "," "," "," "," "
"Congested/cluttered working areas","7"," "," "," "," "," "," ","3"
"Exposure to chemicals","9"," "," "," "," "," "," ","1"
"Exposure to excessive dust","10"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","9"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","8"," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","5"," "," "," "," "," "," ","5"
"Exposure to insects or animals (e.g. bed bugs, cats)","6"," "," "," "," "," "," ","4"
"Exposure to strong odors","6"," "," "," "," "," "," ","4"
"Finger dexterity"," ","6","4"," "," "," "," "," "
"Grasping"," ","6","3","1"," "," "," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","2","6"," "," "
"Keyboarding on phone"," ","7"," "," "," ","3"," "," "
"Kneeling/squatting"," ","7"," "," "," ","3"," "," "
"Lifting less than 5 kg"," ","6","3","1"," "," "," "," "
"Lifting more than 5 kg"," ","9","1"," "," "," "," "," "
"Other climbing"," ","9"," "," "," ","1"," "," "
"Pinching"," ","6","4"," "," "," "," "," "
"Pulling less than 5 kg"," ","9"," ","1"," "," "," "," "
"Pulling more than 5 kg"," ","9","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","8","1","1"," "," "," "," "
"Pushing more than 5 kg"," ","9","1"," "," "," "," "," "
"Reaching"," ","6","3","1"," "," "," "," "
"Sitting (Continuous)"," ","3"," "," ","1","4","2"," "
"Sitting (Intermittent)"," ","2"," "," ","3","3","2"," "
"Stair climbing"," ","4"," "," ","1","5"," "," "
"Standing (Continuous)"," ","4"," "," ","1","5"," "," "
"Standing (Intermittent)"," ","3"," "," ","1","6"," "," "
"Travel via car required","8"," "," "," "," "," "," ","2"
"Travel via public transportation required","8"," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","7"," "," "," ","3"," "," "
"Use of sharp tools","9"," "," "," "," "," "," ","1"
"Walking"," ","3"," "," ","1","6"," "," "
"Work only indoors","6"," "," "," "," "," "," ","4"
"Work outdoors > 1 hour","8"," "," "," "," "," "," ","2"
"Total","107","146","27","6","11","56","4","33"
