"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","21"," "," "," "," "," "," "," ","1"
"Bending"," ","4"," "," ","3","15"," "," "," "
"By hand"," ","2"," "," ","3","16"," ","1"," "
"Carrying less than 5 kg"," ","10","12"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","16","6"," "," "," "," "," "," "
"Congested/cluttered working areas","14"," "," "," "," "," "," "," ","8"
"Exposure to chemicals","21"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","21"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","14"," "," "," "," "," "," "," ","8"
"Exposure to extreme temperatures","20"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","16"," "," "," "," "," "," "," ","6"
"Exposure to insects or animals (e.g. bed bugs, cats)","19"," "," "," "," "," "," "," ","3"
"Exposure to strong odors","17"," "," "," "," "," "," "," ","5"
"Finger dexterity"," ","1","13","5"," "," ","3"," "," "
"Grasping"," ","1","15","4"," "," ","2"," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","7","10"," ","3"," "
"Keyboarding on phone"," ","17"," "," "," ","5"," "," "," "
"Kneeling/squatting"," ","9"," "," ","1","12"," "," "," "
"Lifting less than 5 kg"," ","6","15","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","13","9"," "," "," "," "," "," "
"Other climbing"," ","19"," "," "," ","3"," "," "," "
"Pinching"," ","3","14","3"," "," ","2"," "," "
"Pulling less than 5 kg"," ","18","4"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","18","4"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","13","8","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","15","7"," "," "," "," "," "," "
"Reaching"," ","2","16","2"," "," ","2"," "," "
"Sitting (Continuous)"," ","3"," "," ","8","7"," ","4"," "
"Sitting (Intermittent)"," "," "," "," ","13","6"," ","3"," "
"Stair climbing"," ","10"," "," ","1","11"," "," "," "
"Standing (Continuous)"," ","2"," "," ","5","14"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","8","11"," ","3"," "
"Travel via car required","19"," "," "," "," "," "," "," ","3"
"Travel via public transportation required","20"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","11"," "," "," ","11"," "," "," "
"Use of sharp tools","15"," "," "," "," "," "," "," ","7"
"Walking"," "," "," "," ","4","18"," "," "," "
"Work only indoors","8"," "," "," "," "," "," "," ","14"
"Work outdoors > 1 hour","20"," "," "," "," "," "," "," ","2"
"Total","245","195","123","16","53","139","9","15","63"
