"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","6"," "," "," "," ","2","3"
"Group work (e.g. Client and family meetings, team meetings)"," ","1"," ","9","1"," "," "
"Independent work"," "," ","5","3","3"," "," "
"Work at a fast pace"," ","2","3","4","2"," "," "
"Work under tight deadlines"," ","4","2","4","1"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","4","6"
"Work with clients who have experienced psychological trauma","3"," "," "," "," ","4","4"
"Work with clients who may be aggressive","5"," "," "," "," "," ","6"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","9","2"
"Work with clients with cognitive deficits","2"," "," "," "," ","6","3"
"Work with clients with multiple diagnoses"," "," "," "," "," ","9","2"
"Work with interdisciplinary team members"," "," ","1","7","3"," "," "
"Work with medically fragile clients and/or those at risk of dying","4"," "," "," "," ","4","3"
"Work with more than one preceptor"," ","5","1","3","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","11"," "," "," "," "," "
"Work with other students"," ","4","2","4","1"," "," "
"Total","21","27","14","34","13","38","29"
