"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","1","18","7","50"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","14","19","42"," "," "
"Follow multiple step commands","2"," "," "," "," ","60","14"
"Integrating new learning into practice"," "," ","21","16","39"," "," "
"Memory aids can be used (e.g. information sheets)","3"," "," "," "," ","56","17"
"Practicing good judgement and decision-making"," "," ","15","8","53"," "," "
"Problem solving"," "," ","23","12","41"," "," "
"Reading electronic documents"," ","7","16","45","8"," "," "
"Reading paper documents (handwritten or typed)"," ","2","22","38","14"," "," "
"Require instant recall of facts/data","4"," "," "," "," ","48","24"
"Self-starting/initiating"," "," ","21","19","36"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","16","15","45"," "," "
"Total","9","11","166","179","328","164","55"
