"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","4"," "," "," "," "," ","6"
"Group work (e.g. Client and family meetings, team meetings)"," ","1"," ","9"," "," "," "
"Independent work"," "," ","5","4","1"," "," "
"Work at a fast pace"," "," ","1","6","3"," "," "
"Work under tight deadlines"," ","2","4","4"," "," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","4","6"
"Work with clients who have experienced psychological trauma","5"," "," "," "," ","2","3"
"Work with clients who may be aggressive","7"," "," "," "," "," ","3"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","5","4"
"Work with clients with cognitive deficits"," "," "," "," "," ","5","5"
"Work with clients with multiple diagnoses"," "," "," "," "," ","8","2"
"Work with interdisciplinary team members"," "," ","1","6","3"," "," "
"Work with medically fragile clients and/or those at risk of dying","6"," "," "," "," ","2","2"
"Work with more than one preceptor"," ","3","4","1","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","2"," ","8"," "," "," "
"Work with other students"," ","3","1","6"," "," "," "
"Total","23","11","16","44","9","26","31"
