"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","16"," "," "," "," ","2","13",1
"Group work (e.g. Client and family meetings, team meetings)"," ","3","2","24","2"," "," ",1
"Independent work"," "," ","8","14","9"," "," ",1
"Work at a fast pace"," ","6","9","13","3"," "," ",1
"Work under tight deadlines"," ","12","6","12","1"," "," ",1
"Work with clients that speak little or no English","6"," "," "," "," ","10","15",1
"Work with clients who have experienced psychological trauma","22"," "," "," "," ","1","8",1
"Work with clients who may be aggressive","18"," "," "," "," ","2","11",1
"Work with clients with challenging economic and/or personal circumstances","7"," "," "," "," ","13","11",1
"Work with clients with cognitive deficits","5"," "," "," "," ","17","9",1
"Work with clients with multiple diagnoses","1"," "," "," "," ","17","13",1
"Work with interdisciplinary team members"," ","3","8","10","10"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","24"," "," "," "," ","3","4",1
"Work with more than one preceptor"," ","9","6","7","9"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","18","3","9","1"," "," ",1
"Work with other students"," ","12","6","11","2"," "," ",1
"Total","99","63","48","100","37","65","84",16
