"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","5"," "," "," "," ","1","2"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","2","6"," "," "," "
"Independent work"," "," ","3","3","2"," "," "
"Work at a fast pace"," "," ","2","4","2"," "," "
"Work under tight deadlines"," ","2","2","2","2"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","2","5"
"Work with clients who have experienced psychological trauma","2"," "," "," "," ","4","2"
"Work with clients who may be aggressive","3"," "," "," "," ","1","4"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","5","2"
"Work with clients with cognitive deficits","1"," "," "," "," ","7"," "
"Work with clients with multiple diagnoses"," "," "," "," "," ","7","1"
"Work with interdisciplinary team members"," ","1","3","3","1"," "," "
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","5","2"
"Work with more than one preceptor"," ","5","1","1","1"," "," "
"Work with Occupational Therapy Assistant(s)"," ","5"," ","3"," "," "," "
"Work with other students"," ","4"," ","2","2"," "," "
"Total","14","17","13","24","10","32","18"
