"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","1","1","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","2","1"," "," "
"Follow multiple step commands","1"," "," "," ","2","2"
"Integrating new learning into practice"," ","2"," ","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","4","1"
"Practicing good judgement and decision-making"," "," ","1","4"," "," "
"Problem solving"," ","1","1","3"," "," "
"Reading electronic documents"," "," ","2","3"," "," "
"Reading paper documents (handwritten or typed)"," "," ","3","2"," "," "
"Require instant recall of facts/data"," "," "," "," "," ","5"
"Self-starting/initiating"," ","1","1","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","3"," ","2"," "," "
"Total","1","10","11","24","6","8"
