"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","12"," "," "," "," "," "," "," ","1"
"Bending"," "," "," "," ","3","10"," "," "," "
"By hand"," ","2"," "," "," ","11"," "," "," "
"Carrying less than 5 kg"," ","4","6","2"," "," ","1"," "," "
"Carrying more than 5 kg"," ","8","5"," "," "," "," "," "," "
"Congested/cluttered working areas","9"," "," "," "," "," "," "," ","4"
"Exposure to chemicals","13"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","12"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","9"," "," "," "," "," "," "," ","4"
"Exposure to extreme temperatures","11"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","8"," "," "," "," "," "," "," ","5"
"Exposure to insects or animals (e.g. bed bugs, cats)","12"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","10"," "," "," "," "," "," "," ","3"
"Finger dexterity"," ","1","6","2"," "," ","4"," "," "
"Grasping"," ","1","6","3"," "," ","3"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","5","4"," ","3"," "
"Keyboarding on phone"," ","10"," "," "," ","3"," "," "," "
"Kneeling/squatting"," ","1"," "," ","4","8"," "," "," "
"Lifting less than 5 kg"," ","3","7","2"," "," ","1"," "," "
"Lifting more than 5 kg"," ","8","5"," "," "," "," "," "," "
"Other climbing"," ","8"," "," ","1","4"," "," "," "
"Pinching"," ","1","7","3"," "," ","2"," "," "
"Pulling less than 5 kg"," ","8","5"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","8","5"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","9","4"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","8","5"," "," "," "," "," "," "
"Reaching"," ","1","6","5"," "," ","1"," "," "
"Sitting (Continuous)"," ","1"," "," ","6","3"," ","3"," "
"Sitting (Intermittent)"," "," "," "," ","4","4"," ","5"," "
"Stair climbing"," ","2"," "," ","2","9"," "," "," "
"Standing (Continuous)"," ","3"," "," ","5","4"," ","1"," "
"Standing (Intermittent)"," ","1"," "," ","5","5"," ","2"," "
"Travel via car required","9"," "," "," "," "," "," "," ","4"
"Travel via public transportation required","13"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","5"," "," ","1","7"," "," "," "
"Use of sharp tools","12"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","3","10"," "," "," "
"Work only indoors","3"," "," "," "," "," "," "," ","10"
"Work outdoors > 1 hour","12"," "," "," "," "," "," "," ","1"
"Total","145","94","67","17","39","82","12","14","37"
