"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","1","2"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","1"," ","3"," "," "
"Follow multiple step commands","1"," "," "," "," ","4"," "
"Integrating new learning into practice"," "," ","1","1","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","5"," "
"Practicing good judgement and decision-making"," "," ","1","1","3"," "," "
"Problem solving"," "," ","2","1","2"," "," "
"Reading electronic documents"," "," ","3","2"," "," "," "
"Reading paper documents (handwritten or typed)"," ","1"," ","4"," "," "," "
"Require instant recall of facts/data","1"," "," "," "," ","3","1"
"Self-starting/initiating"," "," ","3"," ","2"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","1","1","3"," "," "
"Total","2","2","14","11","18","12","1"
