"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","6"," "," "," "," "," "," "," "," "
"Bending"," "," "," "," ","2","4"," "," "," "
"By hand"," "," "," "," ","2","4"," "," "," "
"Carrying less than 5 kg"," ","1","3","2"," "," "," "," "," "
"Carrying more than 5 kg"," ","3","3"," "," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","6"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","5"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","5"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","5"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","3"," "," "," "," "," "," "," ","3"
"Finger dexterity"," "," ","2","3"," "," ","1"," "," "
"Grasping"," "," ","2","3"," "," ","1"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","2","3"," "," "," "
"Keyboarding on phone"," ","3"," "," "," ","3"," "," "," "
"Kneeling/squatting"," "," "," "," ","3","3"," "," "," "
"Lifting less than 5 kg"," "," ","4","2"," "," "," "," "," "
"Lifting more than 5 kg"," ","3","3"," "," "," "," "," "," "
"Other climbing"," ","5"," "," "," ","1"," "," "," "
"Pinching"," "," ","3","2"," "," ","1"," "," "
"Pulling less than 5 kg"," ","5","1"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","4","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","5","1"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","3","3"," "," "," "," "," "," "
"Reaching"," "," ","2","3"," "," ","1"," "," "
"Sitting (Continuous)"," ","2"," "," ","2","2"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","2","3"," ","1"," "
"Stair climbing"," "," "," "," "," ","6"," "," "," "
"Standing (Continuous)"," ","1"," "," ","3","2"," "," "," "
"Standing (Intermittent)"," "," "," "," ","3","2"," ","1"," "
"Travel via car required","6"," "," "," "," "," "," "," "," "
"Travel via public transportation required","6"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","1"," "," "," ","5"," "," "," "
"Use of sharp tools","6"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","3","2"," ","1"," "
"Work only indoors","2"," "," "," "," "," "," "," ","4"
"Work outdoors > 2 hour","5"," "," "," "," "," "," "," ","1"
"Total","64","37","29","15","22","40","4","3","20"
