"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3","2","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","2","3","3"," "," "
"Follow multiple step commands","1"," "," "," "," ","4","3"
"Integrating new learning into practice"," "," ","1","4","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","6","2"
"Practicing good judgement and decision-making"," "," ","3","2","3"," "," "
"Problem solving"," "," ","4","1","3"," "," "
"Reading electronic documents"," ","3","3","2"," "," "," "
"Reading paper documents (handwritten or typed)"," "," "," ","7","1"," "," "
"Require instant recall of facts/data","3"," "," "," "," ","3","2"
"Self-starting/initiating"," "," "," ","5","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","4","1","3"," "," "
"Total","4","3","20","27","22","13","7"
