"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","7"," "," "," "," "," ","1"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","6","1"," "," "
"Independent work"," "," ","3","3","2"," "," "
"Work at a fast pace"," "," "," ","7","1"," "," "
"Work under tight deadlines"," ","3","2","3"," "," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","2","5"
"Work with clients who have experienced psychological trauma","4"," "," "," "," ","2","2"
"Work with clients who may be aggressive","5"," "," "," "," ","1","2"
"Work with clients with challenging economic and/or personal circumstances","2"," "," "," "," ","3","3"
"Work with clients with cognitive deficits","1"," "," "," "," ","5","2"
"Work with clients with multiple diagnoses"," "," "," "," "," ","7","1"
"Work with interdisciplinary team members"," ","1","2","4","1"," "," "
"Work with medically fragile clients and/or those at risk of dying","2"," "," "," "," ","3","3"
"Work with more than one preceptor"," ","2","2","2","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","4"," ","4"," "," "," "
"Work with other students"," ","1"," ","5","2"," "," "
"Total","22","11","10","34","9","23","19"
